year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.12828663173826488,0.00014388532422550922,0.8715694829375096
1981,0.10642189009497183,0.00011273557941973457,0.8934653743256085
1982,0.087102102249174,8.799213350350985e-05,0.9128099056173224
1983,0.07027545879236613,6.848700997364552e-05,0.9296560541976602
1984,0.055841324445207334,5.317391158706058e-05,0.9441055016432055
1985,0.04366069213683198,4.115628517496072e-05,0.956298151577993
1986,0.03356680272248522,3.1702942223656284e-05,0.9664014943352911
1987,0.02537517617532676,2.425262659945339e-05,0.9746005711980738
1988,0.01889252921773618,1.8409545401883496e-05,0.9810890612368618
1989,0.013924275362844707,1.3932099764139763e-05,0.986061792537391
1990,0.010280494655778698,1.0717024579933059e-05,0.9897087883196414
1991,0.007780408156325161,8.780921816127117e-06,0.9922108109218586
1992,0.006255489273780231,8.240780834619445e-06,0.9937362699453851
1993,0.0055514018825263065,9.29470382146602e-06,0.9944393034136523
1994,0.005528976480363906,1.2203721370791799e-05,0.9944588197982653
1995,0.00606443396374666,1.7275206950558202e-05,0.9939182908293027
1996,0.007049048564363061,2.4848231082727802e-05,0.9929261032045542
1997,0.00838841567512977,3.528090767061535e-05,0.9915763034171997
1998,0.010001461797196007,4.893975660868788e-05,0.9899495984461953
1999,0.011819303926625044,6.619093785102182e-05,0.9881145051355239
2000,0.013784042807982568,8.739322755260811e-05,0.9861285639644649
2001,0.01584754874641271,0.00011289252666272401,0.9840395587269245
2002,0.01797028433497318,0.00014301775392777736,0.9818866979110991
2003,0.0201201909103962,0.00017807792973953906,0.9797017311598641
2004,0.02227165707855644,0.00021836028065690797,0.9775099826407866
2005,0.024404576786122307,0.0002641292676129306,0.9753312939462648
2006,0.026503502555639227,0.0003156263053146577,0.9731808711390462
2007,0.028556890270731043,0.0003730702005908978,0.9710700395286781
2008,0.03055643342835357,0.00043665809461191496,0.9690069084770345
2009,0.03249648175731005,0.0005065668490317908,0.9669969513936582
2010,0.03437353681341004,0.000582954873635462,0.9650435083129545
2011,0.036185819492586466,0.0006659641967928356,0.9631482163106206
2012,0.03793290138524884,0.0007557227778685121,0.9613113758368826
2013,0.039615394081907326,0.0008523470803518936,0.9595322588377407
2014,0.041234691118087564,0.0009559446354416659,0.9578093642464707
2015,0.04279275440136729,0.0010666168370137387,0.9561406287616189
