"subset_id","subset"
"subset1","ACCESS-CM2"
"subset1","ACCESS-ESM1-5"
"subset1","BCC-CSM2-MR"
"subset1","CAMS-CSM1-0"
"subset1","CESM2"
"subset10","ACCESS-CM2"
"subset10","ACCESS-ESM1-5"
"subset10","BCC-CSM2-MR"
"subset10","CAMS-CSM1-0"
"subset10","INM-CM4-8"
"subset100","ACCESS-CM2"
"subset100","ACCESS-ESM1-5"
"subset100","BCC-CSM2-MR"
"subset100","EC-Earth3-Veg-LR"
"subset100","MIROC6"
"subset1000","ACCESS-CM2"
"subset1000","ACCESS-ESM1-5"
"subset1000","FGOALS-g3"
"subset1000","IPSL-CM6A-LR"
"subset1000","MIROC6"
"subset10000","ACCESS-ESM1-5"
"subset10000","CanESM5"
"subset10000","GFDL-ESM4"
"subset10000","INM-CM4-8"
"subset10000","MPI-ESM1-2-LR"
"subset10001","ACCESS-ESM1-5"
"subset10001","CanESM5"
"subset10001","GFDL-ESM4"
"subset10001","INM-CM4-8"
"subset10001","MRI-ESM2-0"
"subset10002","ACCESS-ESM1-5"
"subset10002","CanESM5"
"subset10002","GFDL-ESM4"
"subset10002","INM-CM4-8"
"subset10002","NorESM2-MM"
"subset10003","ACCESS-ESM1-5"
"subset10003","CanESM5"
"subset10003","GFDL-ESM4"
"subset10003","INM-CM4-8"
"subset10003","UKESM1-0-LL"
"subset10004","ACCESS-ESM1-5"
"subset10004","CanESM5"
"subset10004","GFDL-ESM4"
"subset10004","INM-CM5-0"
"subset10004","IPSL-CM6A-LR"
"subset10005","ACCESS-ESM1-5"
"subset10005","CanESM5"
"subset10005","GFDL-ESM4"
"subset10005","INM-CM5-0"
"subset10005","MIROC6"
"subset10006","ACCESS-ESM1-5"
"subset10006","CanESM5"
"subset10006","GFDL-ESM4"
"subset10006","INM-CM5-0"
"subset10006","MPI-ESM1-2-HR"
"subset10007","ACCESS-ESM1-5"
"subset10007","CanESM5"
"subset10007","GFDL-ESM4"
"subset10007","INM-CM5-0"
"subset10007","MPI-ESM1-2-LR"
