tas,year,esm,experiment,ensemble,variable,continent,type,name,acronym,value,ann_agg
,1980,CESM2-FV2,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,270.127439567781,270.127439567781
,1980,CESM2-FV2,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,265.60716650506123,265.60716650506123
,1980,CESM2-FV2,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,282.714788381171,282.714788381171
,1980,CESM2-FV2,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,287.1967316187757,287.1967316187757
,1980,CESM2-FV2,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,286.55593936720487,286.55593936720487
,1980,CESM2-FV2,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,294.4937548342148,294.4937548342148
,1980,CESM2-FV2,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,299.23697130868794,299.23697130868794
,1980,CESM2-FV2,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,298.9724156527378,298.9724156527378
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,296.35899677699257,296.35899677699257
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.4542114239843,298.4542114239843
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,297.9535787606772,297.9535787606772
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,297.5205092684111,297.5205092684111
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,S.W.South-America,SWS,288.2388416244075,288.2388416244075
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,S.E.South-America,SES,294.1621061492881,294.1621061492881
,1980,CESM2-FV2,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,S.South-America,SSA,281.3933721035951,281.3933721035951
,1980,CESM2-FV2,historical,r1i1p1f1,tas,EUROPE,Land,N.Europe,NEU,277.4451055809141,277.4451055809141
,1980,CESM2-FV2,historical,r1i1p1f1,tas,EUROPE,Land,West&Central-Europe,WCE,282.7056377324405,282.7056377324405
,1980,CESM2-FV2,historical,r1i1p1f1,tas,EUROPE,Land,E.Europe,EEU,278.08562839551274,278.08562839551274
,1980,CESM2-FV2,historical,r1i1p1f1,tas,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,290.70720641378267,290.70720641378267
,1980,CESM2-FV2,historical,r1i1p1f1,tas,AFRICA,Land,Sahara,SAH,297.7233738495523,297.7233738495523
