tas,year,esm,experiment,ensemble,variable,continent,type,name,acronym,value
,1980,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,S.Australia,SAU,287.8611499973867
,1980,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,New-Zealand,NZ,287.52444393262624
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,266.93300776306125
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,265.487887074537
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,280.0744318552358
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,284.273412304165
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,283.9916378333815
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,292.53029335489936
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,298.34721519916496
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,298.43456289723764
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,293.7969801525969
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.6186076821872
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,295.9933877205146
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,294.1587588759697
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,S.W.South-America,SWS,285.5640742444001
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,S.E.South-America,SES,291.3879708293431
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,S.South-America,SSA,282.0821634473517
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,EUROPE,Land,N.Europe,NEU,277.8066087288417
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,EUROPE,Land,West&Central-Europe,WCE,280.01638316550805
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,EUROPE,Land,E.Europe,EEU,277.38580211752657
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,288.51360396080076
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,Sahara,SAH,296.1621037534555
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,Western-Africa,WAF,298.87397444561344
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,Central-Africa,CAF,296.57874650387754
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,N.Eastern-Africa,NEAF,297.62205387739516
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,S.Eastern-Africa,SEAF,295.802986491669
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,W.Southern-Africa,WSAF,293.2240854801481
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,E.Southern-Africa,ESAF,293.8804001013421
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,AFRICA,Land,Madagascar,MDG,296.77505512712133
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,Russian-Arctic,RAR,260.6178256071866
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,W.Siberia,WSB,274.51719819059514
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,E.Siberia,ESB,267.8831689551327
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,Russian-Far-East,RFE,267.05710674976285
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,W.C.Asia,WCA,287.85510497921314
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,E.C.Asia,ECA,279.98413966253946
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,Tibetan-Plateau,TIB,270.60953181401663
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,E.Asia,EAS,287.2274443844357
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,Arabian-Peninsula,ARP,297.8511197275945
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land,S.Asia,SAS,296.7308697467493
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,ASIA,Land-Ocean,S.E.Asia,SEA,299.15477323691607
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,N.Australia,NAU,299.55130984337916
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,C.Australia,CAU,295.1474109684434
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,E.Australia,EAU,292.8965836086646
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,S.Australia,SAU,287.8979714353531
,1981,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,OCEANIA,Land,New-Zealand,NZ,287.86671034468816
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,267.61404950279064
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,265.6790090031648
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,280.0920103747887
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,283.92552355878144
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,284.22308745057427
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,292.58597490991764
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,298.28656340672626
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,298.28547021156436
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,294.3467555221424
,1982,MPI-ESM-1-2-HAM,historical,r1i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.7943148001419
