tas,year,esm,experiment,ensemble,variable,continent,type,name,acronym,value
,1980,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,271.104924096051
,1980,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,266.4307357333111
,1980,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,280.7468155028374
,1980,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,284.7290042983951
,1980,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,284.81975127908277
,1980,E3SM-1-0,historical,r2i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,292.39628142500857
,1980,E3SM-1-0,historical,r2i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,298.1331803948345
,1980,E3SM-1-0,historical,r2i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,298.0319457736695
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,295.06984796490843
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.64893143876304
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,297.2314405410494
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,296.13285999611236
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,S.W.South-America,SWS,287.5572317114013
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,S.E.South-America,SES,293.33709288612675
,1980,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,S.South-America,SSA,282.7425552024709
,1980,E3SM-1-0,historical,r2i1p1f1,tas,EUROPE,Land,N.Europe,NEU,278.54255332432336
,1980,E3SM-1-0,historical,r2i1p1f1,tas,EUROPE,Land,West&Central-Europe,WCE,279.9097041722732
,1980,E3SM-1-0,historical,r2i1p1f1,tas,EUROPE,Land,E.Europe,EEU,275.8416123567908
,1980,E3SM-1-0,historical,r2i1p1f1,tas,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,286.7678800325808
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,Sahara,SAH,295.1259393132836
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,Western-Africa,WAF,298.8993758136283
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,Central-Africa,CAF,297.5011584100603
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,N.Eastern-Africa,NEAF,298.1268117564968
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,S.Eastern-Africa,SEAF,296.23959505151504
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,W.Southern-Africa,WSAF,293.55634855833915
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,E.Southern-Africa,ESAF,294.317367044174
,1980,E3SM-1-0,historical,r2i1p1f1,tas,AFRICA,Land,Madagascar,MDG,296.78349464616196
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,Russian-Arctic,RAR,265.33976703603673
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,W.Siberia,WSB,273.3618867195204
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,E.Siberia,ESB,268.03408326502097
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,Russian-Far-East,RFE,269.2812430216239
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,W.C.Asia,WCA,283.8314302512716
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,E.C.Asia,ECA,276.65800989244457
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,Tibetan-Plateau,TIB,269.07309238073395
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,E.Asia,EAS,285.7996035413903
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,Arabian-Peninsula,ARP,296.04307434041334
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land,S.Asia,SAS,297.07056628491586
,1980,E3SM-1-0,historical,r2i1p1f1,tas,ASIA,Land-Ocean,S.E.Asia,SEA,299.1671926282824
,1980,E3SM-1-0,historical,r2i1p1f1,tas,OCEANIA,Land,N.Australia,NAU,298.652247906098
,1980,E3SM-1-0,historical,r2i1p1f1,tas,OCEANIA,Land,C.Australia,CAU,295.14112102764255
,1980,E3SM-1-0,historical,r2i1p1f1,tas,OCEANIA,Land,E.Australia,EAU,292.4653411132013
,1980,E3SM-1-0,historical,r2i1p1f1,tas,OCEANIA,Land,S.Australia,SAU,288.6321855179503
,1980,E3SM-1-0,historical,r2i1p1f1,tas,OCEANIA,Land,New-Zealand,NZ,287.6155113595904
,1981,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,272.1125006972306
,1981,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,266.43986833651576
,1981,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,281.9035934043407
,1981,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,286.1880900279081
,1981,E3SM-1-0,historical,r2i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,284.92281428255376
,1981,E3SM-1-0,historical,r2i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,292.7484882038052
,1981,E3SM-1-0,historical,r2i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,298.2515221972407
,1981,E3SM-1-0,historical,r2i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,298.1496494473762
,1981,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,294.92481329470695
,1981,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.7196292651634
,1981,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,297.29559179052893
,1981,E3SM-1-0,historical,r2i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,296.296826188363
