pr,year,esm,experiment,ensemble,variable,continent,type,name,acronym
2.7176551113375058e-05,1980,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.33959877144594e-05,1981,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.3353137789610066e-05,1982,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.3823200542643583e-05,1983,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4889717136915927e-05,1984,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4045433991851667e-05,1985,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.220578522920862e-05,1986,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.380725754348965e-05,1987,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6831811694010106e-05,1988,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4962642744530145e-05,1989,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5337240266479084e-05,1990,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4904618295321274e-05,1991,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.542643849729991e-05,1992,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.54078393181101e-05,1993,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4743438019811763e-05,1994,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4243612658705243e-05,1995,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.507385216383098e-05,1996,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5366440925908063e-05,1997,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.349932512714625e-05,1998,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5297366524970444e-05,1999,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.6050606876721077e-05,2000,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5389051922812658e-05,2001,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.521065619303682e-05,2002,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.5110442583945043e-05,2003,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.4747466113259425e-05,2004,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
2.7110393149516848e-05,2005,GFDL-ESM4,historical,r3i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN
