value,year,esm,experiment,ensemble,variable,continent,type,name,acronym,tas,ann_agg
267.9796577092844,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,,267.9796577092844
265.48895298628486,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,,265.48895298628486
278.02805306358795,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,,278.02805306358795
283.3802690231236,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,,283.3802690231236
285.01237211556764,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,,285.01237211556764
291.0849670779934,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,,291.0849670779934
299.6473755100075,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,,299.6473755100075
298.9459046589221,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,,298.9459046589221
297.7177740065529,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,,297.7177740065529
301.08981826230814,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,,301.08981826230814
299.31641710806,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,,299.31641710806
299.3733872553769,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,,299.3733872553769
289.73761507240465,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,S.W.South-America,SWS,,289.73761507240465
292.57341735823167,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,S.E.South-America,SES,,292.57341735823167
281.1625954651865,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,SOUTH-AMERICA,Land,S.South-America,SSA,,281.1625954651865
275.00722363420243,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,EUROPE,Land,N.Europe,NEU,,275.00722363420243
280.1408025977179,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,EUROPE,Land,West&Central-Europe,WCE,,280.1408025977179
274.9254339458248,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,EUROPE,Land,E.Europe,EEU,,274.9254339458248
289.1599102823804,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,,289.1599102823804
300.14053392113004,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,Sahara,SAH,,300.14053392113004
301.15339736991154,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,Western-Africa,WAF,,301.15339736991154
300.6430947410011,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,Central-Africa,CAF,,300.6430947410011
299.96900492524566,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,N.Eastern-Africa,NEAF,,299.96900492524566
298.30624394640773,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,S.Eastern-Africa,SEAF,,298.30624394640773
295.05857339148395,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,W.Southern-Africa,WSAF,,295.05857339148395
296.8930823956593,1980,GISS-E2-1-G,historical,r101i1p1f1,tas,AFRICA,Land,E.Southern-Africa,ESAF,,296.8930823956593
