tas,year,esm,experiment,ensemble,variable,continent,type,name,acronym,value
,1980,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,264.0611017429788
,1980,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,261.8210501487509
,1980,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,278.9879766199045
,1980,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,283.8717701243616
,1980,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,284.44340872246306
,1980,NorCPM1,historical,r10i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,292.15943469528105
,1980,NorCPM1,historical,r10i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,297.5731479097436
,1980,NorCPM1,historical,r10i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,297.19610714090555
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,295.5632804461779
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.34814786420213
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,297.0743728449749
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,297.5487725787405
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,S.W.South-America,SWS,288.2459901665255
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,S.E.South-America,SES,291.75527675481794
,1980,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,S.South-America,SSA,280.6839257873504
,1980,NorCPM1,historical,r10i1p1f1,tas,EUROPE,Land,N.Europe,NEU,277.1003899732904
,1980,NorCPM1,historical,r10i1p1f1,tas,EUROPE,Land,West&Central-Europe,WCE,282.01316428724175
,1980,NorCPM1,historical,r10i1p1f1,tas,EUROPE,Land,E.Europe,EEU,276.76491448790006
,1980,NorCPM1,historical,r10i1p1f1,tas,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,288.80089078896077
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Sahara,SAH,294.5391438705964
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Western-Africa,WAF,298.3563903560123
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Central-Africa,CAF,297.7318547995422
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,N.Eastern-Africa,NEAF,297.2421855031636
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,S.Eastern-Africa,SEAF,295.2575059455865
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,W.Southern-Africa,WSAF,292.8066327510745
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,E.Southern-Africa,ESAF,293.5261861622773
,1980,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Madagascar,MDG,296.1918441623443
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,Russian-Arctic,RAR,257.1474511335719
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,W.Siberia,WSB,272.2207184363703
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,E.Siberia,ESB,265.4412549236684
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,Russian-Far-East,RFE,263.1855213167551
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,W.C.Asia,WCA,285.99117667848867
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,E.C.Asia,ECA,277.02352946346497
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,Tibetan-Plateau,TIB,269.56746228587866
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,E.Asia,EAS,287.5513071122128
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,Arabian-Peninsula,ARP,296.9152288276353
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land,S.Asia,SAS,297.32797044927173
,1980,NorCPM1,historical,r10i1p1f1,tas,ASIA,Land-Ocean,S.E.Asia,SEA,299.3591629123504
,1980,NorCPM1,historical,r10i1p1f1,tas,OCEANIA,Land,N.Australia,NAU,298.7009934691832
,1980,NorCPM1,historical,r10i1p1f1,tas,OCEANIA,Land,C.Australia,CAU,294.3767960155812
,1980,NorCPM1,historical,r10i1p1f1,tas,OCEANIA,Land,E.Australia,EAU,291.6865828026901
,1980,NorCPM1,historical,r10i1p1f1,tas,OCEANIA,Land,S.Australia,SAU,287.68275475883144
,1980,NorCPM1,historical,r10i1p1f1,tas,OCEANIA,Land,New-Zealand,NZ,287.6567679407755
,1981,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,N.W.North-America,NWN,262.86208017107003
,1981,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,N.E.North-America,NEN,262.3244184897698
,1981,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,W.North-America,WNA,280.29138594331073
,1981,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,C.North-America,CNA,284.37324480259826
,1981,NorCPM1,historical,r10i1p1f1,tas,NORTH-AMERICA,Land,E.North-America,ENA,285.1684314635531
,1981,NorCPM1,historical,r10i1p1f1,tas,CENTRAL-AMERICA,Land,N.Central-America,NCA,291.6050836994721
,1981,NorCPM1,historical,r10i1p1f1,tas,CENTRAL-AMERICA,Land,S.Central-America,SCA,297.3790740971092
,1981,NorCPM1,historical,r10i1p1f1,tas,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,297.09903983129834
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,N.W.South-America,NWS,295.3817639065646
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,N.South-America,NSA,298.07224803653963
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,N.E.South-America,NES,296.7410115528102
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,296.95888693016354
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,S.W.South-America,SWS,288.0351379950375
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,S.E.South-America,SES,291.5223365083376
,1981,NorCPM1,historical,r10i1p1f1,tas,SOUTH-AMERICA,Land,S.South-America,SSA,281.0860404173309
,1981,NorCPM1,historical,r10i1p1f1,tas,EUROPE,Land,N.Europe,NEU,276.16230949071706
,1981,NorCPM1,historical,r10i1p1f1,tas,EUROPE,Land,West&Central-Europe,WCE,281.599343214336
,1981,NorCPM1,historical,r10i1p1f1,tas,EUROPE,Land,E.Europe,EEU,277.03308253306056
,1981,NorCPM1,historical,r10i1p1f1,tas,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,288.6882330981222
,1981,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Sahara,SAH,294.72240866306043
,1981,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Western-Africa,WAF,298.57210352008315
,1981,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,Central-Africa,CAF,297.8362834338715
,1981,NorCPM1,historical,r10i1p1f1,tas,AFRICA,Land,N.Eastern-Africa,NEAF,297.1317692048513
