pr,year,esm,experiment,ensemble,variable,continent,type,name,acronym,value
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN,1.8937772795490186e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN,1.6819799703567926e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,W.North-America,WNA,2.630382285889526e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,C.North-America,CNA,2.2957266451488834e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,NORTH-AMERICA,Land,E.North-America,ENA,3.658509960942918e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,CENTRAL-AMERICA,Land,N.Central-America,NCA,2.684975285540351e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,CENTRAL-AMERICA,Land,S.Central-America,SCA,1.670445515361838e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,1.7906752214132892e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,N.W.South-America,NWS,7.749668491921053e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,N.South-America,NSA,4.147492303606577e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,N.E.South-America,NES,4.2833075334624736e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,3.6330609948728996e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,S.W.South-America,SWS,2.3396139380114263e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,S.E.South-America,SES,1.4948943199398921e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,SOUTH-AMERICA,Land,S.South-America,SSA,2.996421149306723e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,EUROPE,Land,N.Europe,NEU,2.4756067438471882e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,EUROPE,Land,West&Central-Europe,WCE,2.1803850268393045e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,EUROPE,Land,E.Europe,EEU,1.6653040964159116e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,1.2915487523333531e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,AFRICA,Land,Sahara,SAH,1.6978578279325927e-06
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,AFRICA,Land,Western-Africa,WAF,3.165924512014557e-05
,1980,GISS-E2-2-H,historical,r1i1p1f1,pr,AFRICA,Land,Central-Africa,CAF,3.534941205162549e-05
