value,year,esm,experiment,ensemble,variable,continent,type,name,acronym,pr
1.985330947142854e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,NORTH-AMERICA,Land,N.W.North-America,NWN,
1.8045100407144707e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,NORTH-AMERICA,Land,N.E.North-America,NEN,
2.3334140002901596e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,NORTH-AMERICA,Land,W.North-America,WNA,
3.227626015670978e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,NORTH-AMERICA,Land,C.North-America,CNA,
4.196175534322227e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,NORTH-AMERICA,Land,E.North-America,ENA,
2.433628418591612e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,CENTRAL-AMERICA,Land,N.Central-America,NCA,
3.460753007284995e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,CENTRAL-AMERICA,Land,S.Central-America,SCA,
3.130834833034586e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,
6.628627140839017e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,N.W.South-America,NWS,
5.026932711587386e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,N.South-America,NSA,
4.12002383100368e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,N.E.South-America,NES,
4.061966883047782e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,
2.3943587044949958e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,S.W.South-America,SWS,
3.176445449543334e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,S.E.South-America,SES,
2.5038298970189036e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,SOUTH-AMERICA,Land,S.South-America,SSA,
2.9477056394575878e-05,1980,GISS-E2-1-G,historical,r101i1p1f1,pr,EUROPE,Land,N.Europe,NEU,
