"subset_id","subset"
"subset1","ACCESS-ESM1-5"
"subset1","BCC-CSM2-MR"
"subset1","CAMS-CSM1-0"
"subset1","CESM2"
"subset1","CMCC-ESM2"
"subset10","ACCESS-ESM1-5"
"subset10","BCC-CSM2-MR"
"subset10","CAMS-CSM1-0"
"subset10","CESM2"
"subset10","MRI-ESM2-0"
"subset100","ACCESS-ESM1-5"
"subset100","BCC-CSM2-MR"
"subset100","CESM2"
"subset100","EC-Earth3-Veg-LR"
"subset100","FGOALS-g3"
"subset1000","ACCESS-ESM1-5"
"subset1000","CMCC-ESM2"
"subset1000","GFDL-ESM4"
"subset1000","NorESM2-MM"
"subset1000","UKESM1-0-LL"
"subset1001","ACCESS-ESM1-5"
"subset1001","CMCC-ESM2"
"subset1001","INM-CM5-0"
"subset1001","IPSL-CM6A-LR"
"subset1001","MIROC6"
"subset1002","ACCESS-ESM1-5"
"subset1002","CMCC-ESM2"
"subset1002","INM-CM5-0"
"subset1002","IPSL-CM6A-LR"
"subset1002","MPI-ESM1-2-LR"
"subset1003","ACCESS-ESM1-5"
"subset1003","CMCC-ESM2"
"subset1003","INM-CM5-0"
"subset1003","IPSL-CM6A-LR"
"subset1003","MRI-ESM2-0"
"subset1004","ACCESS-ESM1-5"
"subset1004","CMCC-ESM2"
"subset1004","INM-CM5-0"
"subset1004","IPSL-CM6A-LR"
"subset1004","NorESM2-MM"
"subset1005","ACCESS-ESM1-5"
"subset1005","CMCC-ESM2"
"subset1005","INM-CM5-0"
"subset1005","IPSL-CM6A-LR"
"subset1005","UKESM1-0-LL"
"subset1006","ACCESS-ESM1-5"
"subset1006","CMCC-ESM2"
"subset1006","INM-CM5-0"
"subset1006","MIROC6"
"subset1006","MPI-ESM1-2-LR"
"subset1007","ACCESS-ESM1-5"
"subset1007","CMCC-ESM2"
"subset1007","INM-CM5-0"
"subset1007","MIROC6"
"subset1007","MRI-ESM2-0"
"subset1008","ACCESS-ESM1-5"
"subset1008","CMCC-ESM2"
"subset1008","INM-CM5-0"
"subset1008","MIROC6"
"subset1008","NorESM2-MM"
"subset1009","ACCESS-ESM1-5"
"subset1009","CMCC-ESM2"
"subset1009","INM-CM5-0"
"subset1009","MIROC6"
"subset1009","UKESM1-0-LL"
"subset101","ACCESS-ESM1-5"
"subset101","BCC-CSM2-MR"
"subset101","CESM2"
"subset101","EC-Earth3-Veg-LR"
"subset101","GFDL-ESM4"
"subset1010","ACCESS-ESM1-5"
"subset1010","CMCC-ESM2"
"subset1010","INM-CM5-0"
"subset1010","MPI-ESM1-2-LR"
"subset1010","MRI-ESM2-0"
"subset1011","ACCESS-ESM1-5"
"subset1011","CMCC-ESM2"
"subset1011","INM-CM5-0"
"subset1011","MPI-ESM1-2-LR"
"subset1011","NorESM2-MM"
"subset1012","ACCESS-ESM1-5"
"subset1012","CMCC-ESM2"
"subset1012","INM-CM5-0"
"subset1012","MPI-ESM1-2-LR"
"subset1012","UKESM1-0-LL"
"subset1013","ACCESS-ESM1-5"
"subset1013","CMCC-ESM2"
"subset1013","INM-CM5-0"
"subset1013","MRI-ESM2-0"
"subset1013","NorESM2-MM"
"subset1014","ACCESS-ESM1-5"
"subset1014","CMCC-ESM2"
"subset1014","INM-CM5-0"
"subset1014","MRI-ESM2-0"
"subset1014","UKESM1-0-LL"
"subset1015","ACCESS-ESM1-5"
"subset1015","CMCC-ESM2"
"subset1015","INM-CM5-0"
"subset1015","NorESM2-MM"
"subset1015","UKESM1-0-LL"
"subset1016","ACCESS-ESM1-5"
"subset1016","CMCC-ESM2"
"subset1016","IPSL-CM6A-LR"
"subset1016","MIROC6"
"subset1016","MPI-ESM1-2-LR"
"subset1017","ACCESS-ESM1-5"
"subset1017","CMCC-ESM2"
"subset1017","IPSL-CM6A-LR"
"subset1017","MIROC6"
"subset1017","MRI-ESM2-0"
"subset1018","ACCESS-ESM1-5"
"subset1018","CMCC-ESM2"
"subset1018","IPSL-CM6A-LR"
"subset1018","MIROC6"
"subset1018","NorESM2-MM"
"subset1019","ACCESS-ESM1-5"
"subset1019","CMCC-ESM2"
"subset1019","IPSL-CM6A-LR"
"subset1019","MIROC6"
"subset1019","UKESM1-0-LL"
"subset102","ACCESS-ESM1-5"
"subset102","BCC-CSM2-MR"
"subset102","CESM2"
"subset102","EC-Earth3-Veg-LR"
"subset102","INM-CM5-0"
"subset1020","ACCESS-ESM1-5"
"subset1020","CMCC-ESM2"
"subset1020","IPSL-CM6A-LR"
"subset1020","MPI-ESM1-2-LR"
"subset1020","MRI-ESM2-0"
"subset1021","ACCESS-ESM1-5"
"subset1021","CMCC-ESM2"
"subset1021","IPSL-CM6A-LR"
"subset1021","MPI-ESM1-2-LR"
"subset1021","NorESM2-MM"
"subset1022","ACCESS-ESM1-5"
"subset1022","CMCC-ESM2"
"subset1022","IPSL-CM6A-LR"
"subset1022","MPI-ESM1-2-LR"
"subset1022","UKESM1-0-LL"
"subset1023","ACCESS-ESM1-5"
"subset1023","CMCC-ESM2"
"subset1023","IPSL-CM6A-LR"
"subset1023","MRI-ESM2-0"
"subset1023","NorESM2-MM"
"subset1024","ACCESS-ESM1-5"
"subset1024","CMCC-ESM2"
"subset1024","IPSL-CM6A-LR"
"subset1024","MRI-ESM2-0"
"subset1024","UKESM1-0-LL"
"subset1025","ACCESS-ESM1-5"
"subset1025","CMCC-ESM2"
"subset1025","IPSL-CM6A-LR"
"subset1025","NorESM2-MM"
"subset1025","UKESM1-0-LL"
"subset1026","ACCESS-ESM1-5"
"subset1026","CMCC-ESM2"
"subset1026","MIROC6"
"subset1026","MPI-ESM1-2-LR"
"subset1026","MRI-ESM2-0"
"subset1027","ACCESS-ESM1-5"
"subset1027","CMCC-ESM2"
"subset1027","MIROC6"
"subset1027","MPI-ESM1-2-LR"
"subset1027","NorESM2-MM"
"subset1028","ACCESS-ESM1-5"
"subset1028","CMCC-ESM2"
"subset1028","MIROC6"
"subset1028","MPI-ESM1-2-LR"
"subset1028","UKESM1-0-LL"
"subset1029","ACCESS-ESM1-5"
"subset1029","CMCC-ESM2"
"subset1029","MIROC6"
"subset1029","MRI-ESM2-0"
"subset1029","NorESM2-MM"
"subset103","ACCESS-ESM1-5"
"subset103","BCC-CSM2-MR"
"subset103","CESM2"
"subset103","EC-Earth3-Veg-LR"
"subset103","IPSL-CM6A-LR"
"subset1030","ACCESS-ESM1-5"
"subset1030","CMCC-ESM2"
"subset1030","MIROC6"
