year,Model Uncertainty,Scenario Uncertainty,Inter-Annual Variability
1980,0.5471518526135841,0.000324616802913967,0.4525235305835019
1981,0.5461426748814386,0.0002057220742463271,0.4536516030443151
1982,0.5462033895662961,0.00012020949086927485,0.4536764009428345
1983,0.5471104448533959,6.227180661240048e-05,0.4528272833399918
1984,0.5486597387104298,2.6507243923031136e-05,0.45131375404564716
1985,0.5506706459624285,8.058244743633418e-06,0.4493212957928278
1986,0.5529875019757644,2.6783103177815424e-06,0.44700981971391784
1987,0.5554792645783979,6.745354615773499e-06,0.4445139900669863
1988,0.5580379906389261,1.7238441296722034e-05,0.44194477091977724
1989,0.5605766383027514,3.169189025253912e-05,0.43939166980699595
1990,0.5630265689843794,4.813746174620767e-05,0.4369252935538743
1991,0.5653350096899438,6.504220197039002e-05,0.43459994810808583
1992,0.5674626373197407,8.124701512968334e-05,0.4324561156651297
1993,0.5693813765439963,9.590898501336496e-05,0.43052271447099044
1994,0.5710724541176325,0.00010844912204533309,0.4288190967603222
1995,0.5725247163199587,0.00011850612001264252,0.42735677756002854
1996,0.5737332005501375,0.00012589615011005778,0.42614090329975246
1997,0.5746979355707137,0.0001305783700309948,0.4251714860592553
1998,0.5754229451974995,0.00013262553283838101,0.4244444292696622
1999,0.575915424820733,0.000132199106366426,0.4239523760729006
2000,0.5761850643303769,0.00012952824717629434,0.42368540742244687
2001,0.5762434911750529,0.00012489204509474902,0.4236316167798524
2002,0.5761038120179441,0.00011860451436383533,0.42377758346769206
2003,0.5757802339807826,0.00011100185992757106,0.4241087641592898
2004,0.5752877494016151,0.00010243164090802549,0.4246098189574769
2005,0.5746418704166286,9.324354329496052e-05,0.4252648860400765
2006,0.5738584042753133,8.37814623647271e-05,0.4260578142623219
2007,0.5729532586240966,7.437676311541165e-05,0.426972364612788
2008,0.5719422735626505,6.534252294683036e-05,0.4279923839144027
2009,0.5708410719581698,5.69686754385965e-05,0.42910195936639156
2010,0.5696649274751447,4.9517975757805054e-05,0.4302855545490974
2011,0.5684286463973417,4.3222725170416975e-05,0.4315281308774879
2012,0.5671464621727658,3.828224164169192e-05,0.4328152555855925
2013,0.5658319418656593,3.486103483994442e-05,0.43413319709950077
2014,0.564497904407508,3.308766745502046e-05,0.43546900792503684
2015,0.563156350010002,3.305431613680482e-05,0.43681059567386127
2016,0.5618184023827004,3.4816975605725025e-05,0.43814678064169393
2017,0.5604942629270906,3.839631729577281e-05,0.4394673407556137
2018,0.5591931776815914,4.37791560683923e-05,0.4407630431623403
2019,0.5579234179241049,5.0920496373562506e-05,0.4420256615795215
2020,0.5566922734840386,5.974610754072901e-05,0.4432479804084206
2021,0.5555060599862337,7.015559214321763e-05,0.44442378442162306
2022,0.5543701381231616,8.202585631698386e-05,0.4455478360205213
2023,0.5532889461823279,9.521494889554866e-05,0.4466158388687766
2024,0.5522660432819777,0.00010956617363769942,0.44762439054438463
2025,0.5513041638380854,0.0001249124146126622,0.448570923747302
2026,0.5504052806867628,0.00014108060334006036,0.4494536387098973
2027,0.5495706756087704,0.0001578962219028199,0.45027142816932675
2028,0.5488010171186721,0.00017518782935619834,0.4510237950519716
2029,0.5480964412345493,0.0001927914937840357,0.4517107672716667
2030,0.5474566360957303,0.00021055509235521318,0.4523328088119145
2031,0.5468809272551236,0.00022834242734282316,0.4528907303175337
2032,0.5463683623255053,0.0002460371049432697,0.4533856005695516
2033,0.5459177928600712,0.0002635461340806051,0.4538186610058481
2034,0.5455279540944256,0.00028080325315093656,0.4541912426524234
2035,0.5451975375657125,0.00029777187423080846,0.4545046905600566
2036,0.5449252595531205,0.0003144477416569879,0.4547602927052225
2037,0.544709921015109,0.00033086118523280766,0.45495921779965826
2038,0.5445504595973553,0.00034707904675003557,0.45510246135589466
2039,0.5444459928160115,0.00036320621807255993,0.455190800965916
2040,0.5443958525123869,0.0003793868193957213,0.45522476066821754
2041,0.5443996081715163,0.000395805023104039,0.45520458680537956
2042,0.5444570817331478,0.0004126855400737033,0.45513023272677855
2043,0.5445683508625607,0.00043029374721978523,0.4550013553902194
2044,0.5447337428189101,0.00044893547931828214,0.4548173217017717
2045,0.5449538184964051,0.0004689565584142544,0.4545772249451807
2046,0.5452293466107857,0.0004907419932879155,0.4542799113959264
2047,0.5455612688325586,0.0005147149167286191,0.4539240162507128
2048,0.5459506566387279,0.0005413353116433775,0.45350800804962876
2049,0.5463986602255599,0.0005710985243833473,0.45303024125005664
2050,0.5469064506247961,0.0006045335981233331,0.45248901577708045
2051,0.5474751569710322,0.0006422015457981167,0.45188264148316964
2052,0.5481057979291869,0.0006846935165558186,0.4512095085542573
2053,0.5487992113044168,0.0007326289934907397,0.4504681597020924
2054,0.5495559812326656,0.0007866540645992881,0.4496573647027351
2055,0.5503763659095822,0.0008474399048818325,0.448776194185536
2056,0.551260226283816,0.0009156814224369345,0.44782409229374703
2057,0.5522069591328415,0.0009920963471622237,0.44680094451999625
2058,0.5532154337714724,0.0010774247209789838,0.44570714150754864
2059,0.5542839374542698,0.001172428961344628,0.4445436335843854
2060,0.5554101279793663,0.0012778946144764878,0.4433119774061573
2061,0.5565909966316724,0.0013946318690882056,0.44201437149923933
2062,0.5578228432580555,0.0015234780363092733,0.44065367870563515
2063,0.5591012643244214,0.0016653008909486072,0.43923343478463006
2064,0.5604211544485241,0.0018210033235234032,0.43775784222795255
2065,0.5617767238648468,0.001991528965333234,0.43623174716982005
2066,0.5631615321037491,0.002177869250661078,0.43466059864558976
2067,0.5645685372709385,0.002381071730193323,0.4330503909988682
2068,0.5659901640259265,0.002602249771066658,0.43140758620300673
2069,0.5674183884275485,0.0028425936285446252,0.42973901794390684
2070,0.5688448416410979,0.003103382948457236,0.4280517754104447
2071,0.5702609318079496,0.0033860004914894708,0.42635306770056086
2072,0.5716579860288238,0.0036919472464341397,0.4246500667247421
2073,0.573027411752242,0.004022858537386305,0.4229497297103716
2074,0.574360880526204,0.004380521037896981,0.42125859843589897
2075,0.5756505334273716,0.004766890466568571,0.4195825761060599
2076,0.5768892123681225,0.0051841094122793835,0.4179266782195982
2077,0.5780707172825862,0.0056345249455030805,0.41629475777191083
2078,0.5791900938928711,0.0061207051710824145,0.4146892009360464
2079,0.5802439540593213,0.006645453931254285,0.41311059200942457
2080,0.5812308321141907,0.007211822377681417,0.4115573455081279
2081,0.5821515813739478,0.007823116066125617,0.4100253025599266
2082,0.5830098124399118,0.008482895566681137,0.408507291993407
2083,0.5838123760493918,0.009194968263820538,0.40699265568678755
2084,0.584569890901434,0.009963368535460334,0.4054667405631058
2085,0.5852973117888557,0.010792322657821788,0.40391036555332266
2086,0.5860145338788595,0.011686194694532817,0.40229927142660765
2087,0.5867470173432282,0.01264940799415428,0.40060357466261753
2088,0.5875264119180187,0.013686338011931977,0.3987872500700494
2089,0.5883911493680672,0.014801170196331093,0.3968076804356016
2090,0.5893869586012225,0.015997717950960146,0.3946153234478174
2091,0.5905672415952153,0.017279196564546868,0.39215356184023775
2092,0.5919932333150392,0.018647949424142288,0.38935881726081856
2093,0.5937338495237758,0.020105127819874273,0.3861610226563499
2094,0.5958651132362021,0.021650328767988832,0.38248455799580905
2095,0.5984690423624195,0.02328120167204437,0.3782497559655361
2096,0.6016318847996811,0.02499304436131954,0.37337507083899935
2097,0.6054416096425855,0.02677841593635856,0.3677799744210559
2098,0.6099846089362738,0.028626806212845943,0.3613885848508802
2099,0.6153416360914904,0.03052440870276478,0.3541339552057448
